id;image;title;author;format;nazwa;rozmiary;kategoria;cena_duzy;cena_maly;ilosc(quantity)
449;https://as1.ftcdn.net/jpg/02/98/15/14/500_F_298151490_JUOUisq3FeA3lxHcT8QVKBP9oglInvVw.jpg;AK - 47;oZ3Photography\Stocksy;jpeg;Rozmiar;5760x3840,1688x1125;Makro;1120.99;538.99;86
450;https://as2.ftcdn.net/jpg/02/27/57/51/500_F_227575177_vhBJq0GQdTJrLg4QOcje76YetcrWgdvS.jpg;Blackberry Closeup;MonicaMurphy\Stocksy;jpeg;Rozmiar;5184x3456,1688x1125;Makro;1120.99;538.99;99
451;https://as2.ftcdn.net/jpg/02/82/69/11/500_F_282691134_WQTtzPNlZjVbgrChvyF6r3HOiewmBrOY.jpg;Tomato Details;Regan Baroni;jpeg;Rozmiar;1788x2678,1126x1687;Makro;2240.99;1120.99;39
452;https://as1.ftcdn.net/jpg/01/95/25/38/500_F_195253807_1yDiJ2AHE1eNYQp4sDJPIUDUc70CmDPe.jpg;cabbage macro;alan shapiro\Stocksy;jpeg;Rozmiar;4000x6000,1125x1688;Makro;1120.99;538.99;21
453;https://as2.ftcdn.net/jpg/02/59/24/55/500_F_259245592_L0q0STAJ9Mspcf1Qm4NXYp3FNS7Yt5a5.jpg;chive blossom;ALAN SHAPIRO\Stocksy;jpeg;Rozmiar;3359x5038,1126x1688;Makro;1120.99;538.99;89
454;https://as2.ftcdn.net/jpg/01/73/81/51/500_F_173815108_rlZoSWzWMbnhzwCfAair5mJTeWjWWVMD.jpg;Purple daisy  macro;Adam Nixon\Stocksy;jpeg;Rozmiar;5760x3840,1688x1125;Makro;1120.99;538.99;2
455;https://as1.ftcdn.net/jpg/03/74/99/40/500_F_374994063_T2BVozOWmfX1B3QtCWVq5veWJzf5CQ1W.jpg;Sapho Longwing Butterfly Macro on Flowers;Brandon Alms\Stocksy;jpeg;Rozmiar;4300x3019,1645x1155;Makro;1120.99;538.99;53
456;https://as2.ftcdn.net/jpg/02/32/53/03/500_F_232530312_bJytyTiSBBmon8VRzFfjc8lMDA2NH04i.jpg;Rice that is near harvesting;Stocksy;jpeg;Rozmiar;5684x3789,1688x1125;Makro;1120.99;538.99;20
457;https://as2.ftcdn.net/jpg/03/75/20/43/500_F_375204300_JwkwFY5kmxUny3kwlBJIaMCFRnZPahRk.jpg;A bunch of wood pencils;Helen Sotiriadis\Stocksy;jpeg;Rozmiar;3888x2592,1688x1125;Makro;1120.99;538.99;105
458;https://as1.ftcdn.net/jpg/03/33/00/90/500_F_333009014_2mGhI31diEMoAPmBX4Pn89znJuGrveCn.jpg;Dewy spider web;Carolyn Lagattuta\Stocksy;jpeg;Rozmiar;3840x4859,1225x1551;Makro;1120.99;538.99;103
