image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/03/42/66/90/500_F_342669098_YJJnoeoKm7hjYmxjqEVngLgC6PveBspZ.jpg;Full Frame Shot Of Leaves;szabo ervin-edward\EyeEm;jpeg;5472x3648;1688x1125;Makro;1120.99;538.99;44
https://as2.ftcdn.net/jpg/02/90/59/09/500_F_290590917_PeWwUbSNGKovwd1C4XCgWxl8wZ0hdjbt.jpg;Close up of fly;Luciano Andres Richino\Scopio;jpeg;5586x8000;1152x1650;Makro;1120.99;538.99;57
https://as1.ftcdn.net/jpg/03/75/22/40/500_F_375224001_GDvKsi1JkeTLNhGTCZ4Oy0VJ7TtaEHAK.jpg;Abstract macro of hosta leaf;Kerry Murphy\Stocksy;jpeg;4908x3272;1688x1125;Makro;1120.99;538.99;66
https://as2.ftcdn.net/jpg/02/72/51/39/500_F_272513980_fFI9QbMIrK51lB3L6icBYVu4ZPZrQniv.jpg;a tree peony beginning to bloom;Kelly Knox\Stocksy;jpeg;5616x3744;1688x1125;Makro;1120.99;538.99;41
https://as2.ftcdn.net/jpg/02/62/27/77/500_F_262277760_xG5oHypcj1o0X1ou4DduyYAVUzyNddsQ.jpg;flower in nature ;Kendra;jpeg;6720x4480;1688x1125;Makro;2240.99;1120.99;100
https://as1.ftcdn.net/jpg/02/36/50/12/500_F_236501281_tdp1coCU2cuvQ2pSbDgAs9l0f4KJeK7O.jpg;Macro shot of dragonfly on twig;Cavan Social;jpeg;6000x4000;1688x1125;Makro;1120.99;538.99;24
https://as1.ftcdn.net/jpg/03/85/16/64/500_F_385166461_kha0L2JkW8ZTwZPVy2JKlOtZdkTC0okb.jpg;micrograph plant cells of woody dicot stem;Pansfun Images\Stocksy;jpeg;7952x5304;1688x1126;Makro;1120.99;538.99;15
https://as2.ftcdn.net/jpg/02/27/55/41/500_F_227554129_wdsNUESJX5OlqxAiqpdJYJumWsv9E9A0.jpg;Yarns Texture;Lumina\Stocksy;jpeg;4480x4480;1378x1378;Makro;1120.99;538.99;85
https://as2.ftcdn.net/jpg/02/26/38/63/500_F_226386354_YKtu3l7qAjrmze3ZpNHZHuHEGnX2p2ZE.jpg;dried pomegranate;Brooke Fitts;jpeg;7000x4667;1688x1126;Makro;1120.99;538.99;84
https://as2.ftcdn.net/jpg/02/85/12/45/500_F_285124574_FJ0JdYoBrpQ5Yrls5vpdGW1mudP9yfb3.jpg;Rose from above;ALAN SHAPIRO\Stocksy;jpeg;3442x5005;1143x1662;Makro;1120.99;538.99;12
